OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1090,2020-001BG,2025-04-19T23:41:45.971232,15.06399129,.0001562,53.0558,319.7755,79.8135,280.3030,0,U,44968,999,29162,.59644E-3,.8613E-4,0
STARLINK-1092,2020-001BH,2025-04-20T22:00:01.999584,15.74707839,.0003357,53.0465,285.5086,292.2660,248.2846,0,U,44969,999,606,.11542E-2,.175944E-2,0
STARLINK-1093,2020-001BJ,2025-04-20T19:21:08.709120,15.71646208,.0001871,53.0424,265.4428,300.3239,59.7593,0,U,44970,999,29244,.72527E-3,.95791E-3,0
STARLINK-1107,2020-001BL,2025-04-20T21:57:07.158816,15.36899011,.0002959,53.0232,289.9458,229.2568,130.8178,0,U,44972,999,29212,.19454E-2,.7151E-3,0
STARLINK-1115,2020-001BM,2025-04-20T22:00:01.999584,15.53216733,.0004348,53.0383,270.6441,169.2351,191.6234,0,U,44973,999,598,.32229E-2,.211292E-2,0
STARLINK-1132,2020-006A,2025-04-20T21:00:55.944000,15.06396550,.0001368,53.0548,275.7869,71.7346,288.3791,0,U,45044,999,28808,-.62902E-4,-.1218E-4,0
STARLINK-1131,2020-006D,2025-04-20T22:02:04.702272,15.06391395,.0001297,53.0545,296.1344,100.9534,259.1601,0,U,45047,999,28780,.11911E-3,.1493E-4,0
STARLINK-1134,2020-006E,2025-04-20T20:38:43.284480,15.13789478,.0001385,53.0552,292.9310,280.3208,79.7628,0,U,45048,999,28784,.25524E-2,.46606E-3,0
STARLINK-1148,2020-006J,2025-04-20T22:00:01.999584,15.64204255,.0002047,53.0456,240.8219,223.1069,206.5395,0,U,45052,999,590,.19508E-2,.193109E-2,0
STARLINK-1156,2020-006L,2025-04-20T21:19:30.621504,15.06396849,.0001416,53.0550,295.7278,89.4007,270.7144,0,U,45054,999,28780,.43992E-4,.374E-5,0
STARLINK-1159,2020-006P,2025-04-20T21:40:44.330304,15.06396536,.0001262,53.0543,295.6602,81.6430,278.4702,0,U,45057,999,28781,.23891E-3,.3279E-4,0
STARLINK-1162,2020-006Q,2025-04-20T22:00:39.076416,16.10224516,.000682,53.0353,243.3408,309.8563,150.2157,0,U,45058,999,28888,.99272E-3,.970237E-2,.55898E-3
STARLINK-1166,2020-006S,2025-04-20T21:56:39.570432,15.06392600,.0001115,53.0554,295.6116,90.9110,269.2006,0,U,45060,999,28781,.30186E-4,.168E-5,0
STARLINK-1169,2020-006T,2025-04-20T12:34:02.482176,15.06390954,.0001437,53.0542,297.3690,82.8892,277.2261,0,U,45061,999,28775,.17907E-3,.2386E-4,0
STARLINK-1171,2020-006U,2025-04-20T21:46:03.157536,15.06392868,.0001232,53.0548,295.6449,86.0768,274.0362,0,U,45062,999,28781,.55369E-4,.543E-5,0
STARLINK-1133,2020-006W,2025-04-20T20:29:05.130240,15.06394040,.000109,53.0530,275.8855,90.6761,269.4353,0,U,45064,999,28808,.18375E-3,.2456E-4,0
STARLINK-1150,2020-006Z,2025-04-19T10:52:07.756320,15.06395860,.0001328,53.0541,282.1689,108.8179,251.2954,0,U,45067,999,28787,-.82242E-4,-.1506E-4,0
STARLINK-1161,2020-006AA,2025-04-20T22:00:01.999584,15.63943172,.0009835,53.0240,234.0317,313.5943,318.6937,0,U,45068,999,598,.29571E-2,.294153E-2,0
STARLINK-1167,2020-006AD,2025-04-20T21:06:15.026112,15.06399102,.0001676,53.0546,275.7726,73.0347,287.0826,0,U,45071,999,28808,.69868E-4,.759E-5,0
STARLINK-1168,2020-006AE,2025-04-20T21:11:33.015264,15.06387536,.0000918,53.0558,275.7523,72.7587,287.3503,0,U,45072,999,28808,.10473E-4,-.125E-5,0
STARLINK-1170,2020-006AF,2025-04-20T22:00:01.999584,15.80690154,.0006746,53.0470,248.6116,319.5583,29.6207,0,U,45073,999,609,.98423E-3,.196633E-2,0
STARLINK-1172,2020-006AG,2025-04-20T19:51:56.348064,15.06389090,.000105,53.0552,275.9994,99.0626,261.0482,0,U,45074,999,28807,.29256E-4,.154E-5,0
STARLINK-1174,2020-006AH,2025-04-20T22:00:01.999584,15.93239899,.0008184,53.0454,245.3839,321.0165,69.3922,0,U,45075,999,601,.10059E-2,.362588E-2,.61884E-4
STARLINK-1153,2020-006AN,2025-04-20T20:55:37.495200,15.06392473,.0001137,53.0545,275.8032,98.1098,262.0020,0,U,45080,999,28808,.12122E-3,.1524E-4,0
STARLINK-1151,2020-006AP,2025-04-19T11:08:05.857152,15.06397352,.0001282,53.0546,282.1981,95.9623,264.1512,0,U,45081,999,28787,.45292E-3,.6471E-4,0
STARLINK-1190,2020-006AR,2025-04-20T22:26:57.562944,15.07245107,.0001261,53.0549,295.5059,132.8597,227.2498,0,U,45083,999,28781,.63713E-2,.98171E-3,0
STARLINK-1173,2020-006AS,2025-04-19T18:57:47.158560,15.06402708,.0001267,53.0532,260.6545,101.6067,258.5064,0,U,45084,999,28820,.36742E-3,.5196E-4,0
STARLINK-1179,2020-006AT,2025-04-20T18:45:35.248608,15.06384476,.0001756,53.0530,256.2042,80.3170,279.8017,0,U,45085,999,28835,.33174E-4,.212E-5,0
STARLINK-1185,2020-006AV,2025-04-20T21:35:25.749312,15.06403466,.0001186,53.0536,255.6786,95.8549,264.2575,0,U,45087,999,28837,.51829E-3,.7448E-4,0
STARLINK-1183,2020-006AW,2025-04-20T17:20:39.455232,15.06391513,.0001269,53.0532,256.4716,85.2750,274.8384,0,U,45088,999,28834,.11708E-3,.1463E-4,0
STARLINK-1176,2020-006AY,2025-04-20T20:09:09.642816,15.06379309,.0001168,53.0546,255.9381,109.1402,250.9713,0,U,45090,999,28836,.16704E-4,-.33E-6,0
STARLINK-1142,2020-006BB,2025-04-20T17:28:44.257728,15.26522010,.0002074,53.0479,239.3982,290.0176,70.0599,0,U,45093,999,28858,.16888E-2,.44624E-3,0
STARLINK-1146,2020-006BC,2025-04-19T21:30:21.039840,15.06408939,.000161,53.0541,260.1775,56.4198,303.6945,0,U,45094,999,28857,.6769E-3,.9818E-4,0
STARLINK-1147,2020-006BD,2025-04-20T19:38:45.734496,15.06400334,.0001048,53.0544,256.6166,79.7331,280.3776,0,U,45095,999,28835,.2943E-3,.4105E-4,0
STARLINK-1152,2020-006BE,2025-04-19T20:07:18.860736,15.12445641,.0000837,53.0550,258.4753,348.9982,11.0991,0,U,45096,999,28858,.28838E-2,.50773E-3,0
STARLINK-1184,2020-006BG,2025-04-20T19:17:25.911168,15.06400714,.0001023,53.0545,256.1053,102.3647,257.7456,0,U,45098,999,28835,.1714E-3,.2273E-4,0
STARLINK-1193,2020-006BJ,2025-04-20T19:12:09.051264,15.06374286,.0001282,53.0544,256.1313,72.6388,287.4741,0,U,45100,999,28835,-.44389E-4,-.942E-5,0
STARLINK-1143,2020-012B,2025-04-20T02:33:49.592736,15.20556501,.0004508,53.0467,53.5746,8.5243,351.5828,0,U,45179,999,28614,.34055E-2,.75967E-3,0
